,id,alias,name,is_closed,review_cou,rating,price,categories,latitude,longitude,address,city,zipcode,state,country,index_right,NTACode,NTAName,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k,MeanLifeExp
8680,dMufH5d3QCIzBVHjlBMxNw,la-bellezza-pizza-new-york-4,La Bellezza Pizza,0,13,3.5,$$,"pizza,italian",40.715740000000004,-74.00538,315 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8681,CCdr4HW5FmaRL6GzCa01BQ,natsu-japanese-restaurant-manhattan,Natsu Japanese Restaurant,0,5,3.0,$$,japanese,40.715990000000005,-74.00498,321 Broadway,Manhattan,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8682,KscSF2Bnwa_wlg1MbdFjvQ,tre-sorelle-new-york,Tre Sorelle,0,144,3.5,$$,"italian,pizza",40.71490221,-74.00649391,61 Reade St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8683,laTCk5pjKO3LaeRHDlCUfA,enzo-bruni-la-pizza-gourmet-new-york-3,Enzo Bruni la pizza gourmet,0,1,1.0,MISSING,pizza,40.718999,-74.000821,265 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8684,r4jG613xCL4ispS14rEBnA,subway-restaurants-new-york-85,Subway Restaurants,0,5,4.0,$,"hotdogs,sandwiches",40.71631372,-74.00471494,90 Worth St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8685,DAAdG53Wry4Q6juEk3q6SA,taco-house-new-york-5,Taco House,0,87,2.5,$,mexican,40.715622499999995,-74.00739229999999,178 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8686,6ORTnWQmSjjZAOicinA4nw,la-belleza-pizza-new-york,La Belleza Pizza,0,6,4.0,$,"pizza,salad",40.71557533,-74.00527653,145 E 49th St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8687,ExxGJoVDzPTdgjnBQIUUwg,eet-new-york,Eet,0,29,2.5,$$,newamerican,40.723402,-74.006469,75 Varick St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8688,YNH4Xtph5jJMQVcavVg0yA,arome-new-york,Arome,0,28,3.5,$,"delis,cafes,sandwiches",40.72189713,-74.00362396,325 Broadway,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8689,1STHZRLclKk0QxkHOznFkA,checkers-new-york-3,Checkers,0,63,2.5,$,"hotdogs,burgers",40.7145,-74.00676999999999,77 Chambers Street,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8690,j0AT5ieMnru6OvKOh0EXyA,tap-ny-taiwanese-night-market-new-york,TAP-NY Taiwanese Night Market,0,3,2.0,MISSING,"farmersmarket,taiwanese",40.717310999999995,-74.001144,87 Lafayette St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8691,JkBK1ue3hjFPs6yZLyUozg,juniors-fresh-food-for-your-baby-manhattan-2,Junior's Fresh Food for your Baby,0,1,5.0,MISSING,"markets,cafes",40.7216339,-74.0009003,52 Mercer St,Manhattan,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8692,E25wadSxBnX2lvrGkZyP9Q,burrito-mariachi-new-york,Burrito Mariachi,0,47,2.5,$,tex-mex,40.7157417,-74.0070872,189 Church St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8693,lngjOfYh7Yndc18_kWAElg,dumpling-cafe-new-york-2,Dumpling Cafe,0,15,2.5,$,"bakeries,cafes",40.7178612,-74.00026700000001,153D Centre St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8694,sVoW4CXYNNlgzT5hZ6_QUg,neighborhood-gourmet-eatery-new-york,Neighborhood Gourmet Eatery,0,4,3.0,$$,"sandwiches,tradamerican",40.718475,-74.004814,275 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8695,uf30W3lg8GrBIeU_4Z8n4Q,tribeca-park-cafe-new-york,Tribeca Park Cafe,0,23,2.5,$,"delis,salad,burgers",40.71991142,-74.00556346,1 Walker St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8696,ZfVXDdT6lv1JV6Kd0psGYA,masas-raw-bar-new-york,Masa's Raw Bar,0,2,3.0,MISSING,"seafood,japanese,sushi",40.71733,-74.0052,78 Leonard St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8697,n9bXPyGv8gKrzPfAZ_p8nA,corte-cafe-new-york,Corte Cafe,0,46,2.0,$,"sandwiches,breakfast_brunch,cafes",40.71405844,-74.00366832,2 Lafayette St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8698,PONtyQEKPROcBbnp4oZXTQ,chipotle-mexican-grill-new-york-40,Chipotle Mexican Grill,0,55,2.5,$,"mexican,hotdogs",40.7146416,-74.00636290000001,281 Broadway,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8700,6UbOi5oDDQUJAI9V2pv11w,akimoto-sushi-new-york,Akimoto Sushi,0,79,2.5,$$,sushi,40.7156982,-74.00711820000001,187 Church St,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8701,rcqOGQQPJ8e2Jpj4dDN9Ng,steaks-n-crepes-new-york,Steaks N Crepes,0,8,3.0,$$,"foodtrucks,cheesesteaks,creperies",40.714240000000004,-74.00641999999999,,New York,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8702,gfQ-r520Oav74_dXUdgj7Q,mr-skewer-and-co-new-york-2,Mr Skewer & Co,0,3,2.0,MISSING,brazilian,40.71691320000001,-74.0037184,352 Broadway,New York,10011,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8705,_4z9FX7X_fwPVbO3TOLurQ,tastalu-panini-new-york,Tastalu Panini,0,2,4.5,MISSING,italian,40.71455002,-74.00714111,10th Ave 16th St,New York,10011,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8706,boAhj2syzMciYj6eKKTWqw,darlene-new-york,Darlene,0,2,2.5,MISSING,"spanish,basque",40.71782,-74.00546999999999,251 Church St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8707,4R92bQbDbRNpaEJMjwJhZQ,fresh-and-co-new-york-59,fresh&co,0,4,1.0,MISSING,"salad,soup,sandwiches",40.71893,-74.00095,261 Canal St,New York,10013,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
8710,VlOzcSn36laXFA-c2geXPw,coffee-cart-manhattan-4,Coffee Cart,0,1,4.0,MISSING,"coffee,foodstands",40.71523,-74.00542,Broadway And Duane,Manhattan,10007,NY,US,13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
