,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
45,36047007400,9,5,0,0,6,"Census Tract 74, Kings County, New York",1418,0.36200000000000004,0.25,0.098,0.085,0.051,0.047,0.106,513.316,354.5,138.964,120.53000000000002,72.318,66.646,150.308
46,36047007500,4,13,2,0,5,"Census Tract 75, Kings County, New York",1970,0.096,0.073,0.106,0.094,0.07400000000000001,0.044000000000000004,0.513,189.12,143.81,208.82,185.18,145.78000000000003,86.68,1010.61
47,36047007600,8,2,0,0,0,"Census Tract 76, Kings County, New York",1379,0.336,0.262,0.11900000000000001,0.127,0.046,0.012,0.099,463.34400000000005,361.298,164.101,175.133,63.434,16.548000000000002,136.52100000000002
48,36047007700,7,6,0,0,6,"Census Tract 77, Kings County, New York",2066,0.139,0.09,0.091,0.057,0.05,0.18899999999999997,0.38299999999999995,287.17400000000004,185.94,188.006,117.762,103.30000000000001,390.47399999999993,791.2779999999999
49,36047007800,4,1,0,0,2,"Census Tract 78, Kings County, New York",1482,0.287,0.233,0.172,0.08,0.073,0.049,0.105,425.33399999999995,345.30600000000004,254.90399999999997,118.56,108.18599999999999,72.61800000000001,155.60999999999999
50,36047008000,11,6,0,0,3,"Census Tract 80, Kings County, New York",1208,0.251,0.153,0.218,0.094,0.138,0.027000000000000003,0.11900000000000001,303.208,184.82399999999998,263.344,113.552,166.704,32.61600000000001,143.752
51,36047008200,8,4,0,0,1,"Census Tract 82, Kings County, New York",1408,0.35700000000000004,0.217,0.11699999999999999,0.081,0.085,0.04,0.10300000000000001,502.65600000000006,305.536,164.736,114.048,119.68,56.32,145.024
52,36047008400,12,3,0,0,8,"Census Tract 84, Kings County, New York",1137,0.204,0.299,0.155,0.151,0.075,0.027999999999999997,0.08800000000000001,231.94799999999998,339.96299999999997,176.23499999999999,171.68699999999998,85.27499999999999,31.835999999999995,100.05600000000001
53,36047008800,11,1,0,0,3,"Census Tract 88, Kings County, New York",1184,0.11199999999999999,0.182,0.26899999999999996,0.26,0.07200000000000001,0.055999999999999994,0.049,132.60799999999998,215.488,318.496,307.84000000000003,85.248,66.30399999999999,58.016000000000005
54,36047009000,1,2,0,0,3,"Census Tract 90, Kings County, New York",906,0.196,0.439,0.115,0.099,0.047,0.019,0.084,177.576,397.734,104.19,89.694,42.582,17.214,76.104
55,36047009200,3,1,0,0,2,"Census Tract 92, Kings County, New York",1679,0.376,0.243,0.17300000000000001,0.11,0.035,0.023,0.040999999999999995,631.304,407.997,290.46700000000004,184.69,58.76500000000001,38.617,68.83899999999998
56,36047009400,4,4,0,0,7,"Census Tract 94, Kings County, New York",1474,0.265,0.32,0.15,0.128,0.039,0.032,0.066,390.61,471.68,221.1,188.672,57.486,47.168,97.284
57,36047009600,7,1,0,0,2,"Census Tract 96, Kings County, New York",1914,0.293,0.248,0.16699999999999998,0.11199999999999999,0.09699999999999999,0.01,0.07400000000000001,560.802,474.67199999999997,319.638,214.36799999999997,185.658,19.14,141.63600000000002
58,36047009800,4,1,0,0,3,"Census Tract 98, Kings County, New York",1692,0.34600000000000003,0.23,0.231,0.092,0.040999999999999995,0.034,0.026000000000000002,585.432,389.16,390.85200000000003,155.664,69.37199999999999,57.528000000000006,43.992000000000004
