ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047030700,"Census Tract 307, Kings County, New York",2199,1358,413,201,42,127,12,46
36047030800,"Census Tract 308, Kings County, New York",746,161,222,120,90,48,33,72
36047030900,"Census Tract 309, Kings County, New York",752,277,233,92,51,0,54,45
36047031100,"Census Tract 311, Kings County, New York",1157,378,196,188,184,27,71,113
36047031300,"Census Tract 313, Kings County, New York",2280,772,504,398,269,136,93,108
36047031400,"Census Tract 314, Kings County, New York",2032,461,469,316,184,173,179,250
36047031500,"Census Tract 315, Kings County, New York",2347,714,314,507,221,246,72,273
36047031701,"Census Tract 317.01, Kings County, New York",1345,355,253,213,154,164,93,113
36047031702,"Census Tract 317.02, Kings County, New York",1430,220,295,352,175,108,109,171
36047031900,"Census Tract 319, Kings County, New York",1373,327,429,334,96,97,30,60
36047032100,"Census Tract 321, Kings County, New York",2108,578,428,307,389,167,58,181
36047032300,"Census Tract 323, Kings County, New York",1446,313,205,279,245,143,124,137
36047032500,"Census Tract 325, Kings County, New York",2570,597,681,554,305,239,81,113
36047032600,"Census Tract 326, Kings County, New York",2323,1214,500,254,131,220,0,4
36047032700,"Census Tract 327, Kings County, New York",1276,324,351,96,200,109,68,128
36047032800,"Census Tract 328, Kings County, New York",911,240,178,189,154,81,34,35
36047032900,"Census Tract 329, Kings County, New York",2322,703,545,395,231,164,123,161
36047033000,"Census Tract 330, Kings County, New York",1795,856,393,288,59,22,49,128
36047033100,"Census Tract 331, Kings County, New York",1510,451,405,292,98,114,45,105
36047033300,"Census Tract 333, Kings County, New York",1310,368,288,369,119,96,48,22
36047033500,"Census Tract 335, Kings County, New York",813,199,228,135,74,66,11,100
36047033600,"Census Tract 336, Kings County, New York",1452,312,156,239,148,174,117,306
36047033700,"Census Tract 337, Kings County, New York",1311,257,283,244,114,117,34,262
36047033900,"Census Tract 339, Kings County, New York",1933,763,331,389,131,121,99,99
36047034000,"Census Tract 340, Kings County, New York",652,372,161,70,23,26,0,0
36047034100,"Census Tract 341, Kings County, New York",1071,280,242,188,121,108,70,62
36047034200,"Census Tract 342, Kings County, New York",2827,1762,705,255,41,12,21,31
36047034300,"Census Tract 343, Kings County, New York",2023,974,440,251,114,115,74,55
36047034500,"Census Tract 345, Kings County, New York",1112,348,304,97,131,0,172,60
36047034700,"Census Tract 347, Kings County, New York",1586,679,305,256,105,105,93,43
36047034800,"Census Tract 348, Kings County, New York",783,213,156,128,134,107,19,26
36047034900,"Census Tract 349, Kings County, New York",2184,758,685,347,206,83,62,43
36047035000,"Census Tract 350, Kings County, New York",1505,614,359,320,120,42,11,39
36047035100,"Census Tract 351, Kings County, New York",1652,714,327,268,155,118,7,63
36047035200,"Census Tract 352, Kings County, New York",493,412,36,24,21,0,0,0
36047035300,"Census Tract 353, Kings County, New York",2018,590,472,342,262,136,77,139
36047035400,"Census Tract 354, Kings County, New York",2702,832,596,300,505,131,80,258
36047035500,"Census Tract 355, Kings County, New York",2031,652,445,468,251,89,66,60
36047035601,"Census Tract 356.01, Kings County, New York",1460,589,255,298,96,68,56,98
36047035602,"Census Tract 356.02, Kings County, New York",2734,1134,580,332,241,187,119,141
36047035700,"Census Tract 357, Kings County, New York",972,467,288,101,49,19,0,48
36047035900,"Census Tract 359, Kings County, New York",2184,951,829,90,193,37,84,0
36047036001,"Census Tract 360.01, Kings County, New York",1661,861,263,238,57,63,32,147
36047036002,"Census Tract 360.02, Kings County, New York",2119,1269,263,206,214,67,48,52
36047036100,"Census Tract 361, Kings County, New York",1126,467,351,197,65,28,16,2
36047036200,"Census Tract 362, Kings County, New York",1234,512,242,218,105,7,28,122
36047036300,"Census Tract 363, Kings County, New York",1695,741,484,152,63,168,56,31
36047036400,"Census Tract 364, Kings County, New York",883,357,73,177,83,79,15,99
36047036501,"Census Tract 365.01, Kings County, New York",1230,446,404,188,103,47,28,14
36047036502,"Census Tract 365.02, Kings County, New York",445,137,132,92,48,19,0,17
36047036600,"Census Tract 366, Kings County, New York",1463,427,450,212,66,118,35,155
36047036700,"Census Tract 367, Kings County, New York",503,164,82,141,30,42,0,44
36047036900,"Census Tract 369, Kings County, New York",1991,744,507,434,122,74,30,80
36047037000,"Census Tract 370, Kings County, New York",1587,238,415,247,178,85,154,270
36047037100,"Census Tract 371, Kings County, New York",1586,484,288,360,186,78,104,86
36047037300,"Census Tract 373, Kings County, New York",1625,691,440,167,96,118,28,85
36047037401,"Census Tract 374.01, Kings County, New York",1860,511,446,291,178,88,99,247
36047037402,"Census Tract 374.02, Kings County, New York",2071,903,401,244,161,141,92,129
36047037500,"Census Tract 375, Kings County, New York",1142,347,322,181,111,91,73,17
36047037700,"Census Tract 377, Kings County, New York",1603,532,316,129,189,148,23,266
36047037900,"Census Tract 379, Kings County, New York",1477,548,266,229,182,87,80,85
36047038100,"Census Tract 381, Kings County, New York",2062,840,424,261,192,118,85,142
36047038200,"Census Tract 382, Kings County, New York",2134,1321,339,247,109,11,41,66
36047038300,"Census Tract 383, Kings County, New York",1654,411,261,328,144,168,93,249
36047038500,"Census Tract 385, Kings County, New York",1273,358,207,179,198,154,68,109
36047038600,"Census Tract 386, Kings County, New York",1118,212,325,125,200,128,38,90
36047038700,"Census Tract 387, Kings County, New York",1447,312,433,193,103,93,174,139
