ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047025800,"Census Tract 258, Kings County, New York",1534,0.348,0.194,0.196,0.086,0.046,0.039,0.091
36047025901,"Census Tract 259.01, Kings County, New York",714,0.293,0.161,0.195,0.052,0.070,0.090,0.140
36047025902,"Census Tract 259.02, Kings County, New York",1175,0.694,0.228,0.056,0.000,0.000,0.000,0.022
36047026000,"Census Tract 260, Kings County, New York",1114,0.254,0.266,0.160,0.145,0.039,0.039,0.097
36047026100,"Census Tract 261, Kings County, New York",2103,0.352,0.215,0.131,0.121,0.054,0.055,0.072
36047026200,"Census Tract 262, Kings County, New York",796,0.217,0.294,0.152,0.069,0.088,0.041,0.138
36047026300,"Census Tract 263, Kings County, New York",829,0.428,0.186,0.135,0.064,0.077,0.036,0.074
36047026400,"Census Tract 264, Kings County, New York",1601,0.187,0.374,0.116,0.125,0.070,0.048,0.081
36047026500,"Census Tract 265, Kings County, New York",1461,0.312,0.106,0.153,0.077,0.087,0.068,0.197
36047026600,"Census Tract 266, Kings County, New York",1060,0.245,0.323,0.095,0.144,0.086,0.019,0.088
36047026700,"Census Tract 267, Kings County, New York",1772,0.292,0.201,0.126,0.084,0.091,0.056,0.151
36047026800,"Census Tract 268, Kings County, New York",1289,0.284,0.221,0.168,0.137,0.054,0.070,0.067
36047026900,"Census Tract 269, Kings County, New York",1225,0.313,0.117,0.150,0.100,0.091,0.061,0.169
36047027000,"Census Tract 270, Kings County, New York",896,0.265,0.128,0.202,0.107,0.122,0.051,0.125
36047027100,"Census Tract 271, Kings County, New York",1130,0.293,0.279,0.126,0.033,0.068,0.084,0.118
36047027200,"Census Tract 272, Kings County, New York",1149,0.218,0.268,0.139,0.141,0.066,0.042,0.125
36047027300,"Census Tract 273, Kings County, New York",1276,0.318,0.218,0.143,0.133,0.078,0.048,0.062
36047027400,"Census Tract 274, Kings County, New York",998,0.232,0.268,0.109,0.118,0.070,0.019,0.183
36047027500,"Census Tract 275, Kings County, New York",1666,0.203,0.118,0.188,0.094,0.107,0.041,0.247
36047027600,"Census Tract 276, Kings County, New York",1196,0.233,0.216,0.148,0.197,0.002,0.054,0.150
36047027700,"Census Tract 277, Kings County, New York",1685,0.341,0.288,0.130,0.071,0.055,0.055,0.059
36047027800,"Census Tract 278, Kings County, New York",1178,0.223,0.182,0.206,0.107,0.048,0.102,0.132
36047027900,"Census Tract 279, Kings County, New York",1490,0.252,0.109,0.213,0.134,0.140,0.081,0.071
36047028000,"Census Tract 280, Kings County, New York",620,0.232,0.177,0.182,0.111,0.113,0.035,0.148
36047028100,"Census Tract 281, Kings County, New York",1784,0.441,0.238,0.113,0.115,0.031,0.018,0.044
36047028200,"Census Tract 282, Kings County, New York",1243,0.241,0.180,0.188,0.132,0.084,0.038,0.137
36047028300,"Census Tract 283, Kings County, New York",1380,0.381,0.249,0.151,0.104,0.045,0.051,0.019
36047028400,"Census Tract 284, Kings County, New York",1296,0.255,0.257,0.171,0.117,0.055,0.079,0.067
36047028501,"Census Tract 285.01, Kings County, New York",116,0.000,0.207,0.034,0.466,0.052,0.000,0.241
36047028502,"Census Tract 285.02, Kings County, New York",1184,0.671,0.133,0.122,0.051,0.000,0.000,0.023
36047028600,"Census Tract 286, Kings County, New York",2021,0.396,0.160,0.209,0.111,0.027,0.032,0.064
